regime,n,rate,metric,mean_log2_rank,median_log2_rank,p95_log2_rank,mean_normalized_rank,median_oracle_overhead_bits,p95_oracle_overhead_bits,mean_effective_log2_queries,mean_bler_proxy
NEAR_IID_CONTROL,32,0.875,EMPIRICAL_ML1,12.455220042314064,11.636624620543635,19.806452074661085,0.3892256263223145,2.584962500721156,2.8981203859807696,3.8938721875540865,0.9451286305557243
NEAR_IID_CONTROL,32,0.875,FIT_16,10.264445715157935,9.622051819456361,18.40268354629184,0.32076392859868547,0.0,2.236385849501926,3.669812031259015,0.8873896923306119
NEAR_IID_CONTROL,32,0.875,FIT_512,9.972218733077442,9.047123912114008,17.879951828913207,0.31163183540867007,0.0,5.941270872611089e-07,3.7,0.8965630019380384
NEAR_IID_CONTROL,32,0.875,FIT_64,10.00126394360581,9.047123912114008,17.87995925508894,0.31253949823768157,0.0,0.20016104481708383,3.669812031259015,0.8885351046205944
NEAR_IID_CONTROL,32,0.875,KT0_MEMORYLESS,11.230186120785865,10.047123912114008,18.8895574360605,0.35094331627455827,1.0,1.0,3.775,0.926102830245914
NEAR_IID_CONTROL,32,0.875,KT1_UNIVERSAL,11.82081742756183,11.167418145831727,19.52134355947957,0.36940054461130717,2.1086147491022214,2.323241665988675,3.775,0.9251705166844584
NEAR_IID_CONTROL,32,0.875,ORACLE_MARKOV,10.230186120785868,9.047123912114008,17.8895574360605,0.3196933162745584,0.0,0.0,3.7,0.8979329433652812
NEAR_IID_CONTROL,64,0.75,EMPIRICAL_ML1,24.11403993615159,24.080250820083155,36.39173470119964,0.37678187400236857,2.7122832198036857,3.4155845002418914,15.533658357360526,0.894732152875863
NEAR_IID_CONTROL,64,0.75,FIT_16,22.400459797575607,21.459284018703183,36.19284620393127,0.35000718433711886,0.0,5.525504187792136,15.252385329243793,0.8275834408158517
NEAR_IID_CONTROL,64,0.75,FIT_512,21.431595303162915,20.602286420975304,34.546781794958235,0.33486867661192055,-0.2691088367506911,0.008513870466611608,15.142045851088792,0.7928319638269063
NEAR_IID_CONTROL,64,0.75,FIT_64,21.57671348546077,20.643138759974235,34.30583707475263,0.3371361482103245,0.0,0.5213468046333639,15.21082248909735,0.805819573844676
NEAR_IID_CONTROL,64,0.75,KT0_MEMORYLESS,22.95115806005675,23.985311250883598,35.927302340404225,0.3586118446883867,1.0,1.0,15.451720925771316,0.867026326502718
NEAR_IID_CONTROL,64,0.75,KT1_UNIVERSAL,23.590711615903405,23.438610660783453,36.469008947266424,0.3686048689984907,1.953612953839599,2.744367807533962,15.46357717705646,0.8781554751746047
NEAR_IID_CONTROL,64,0.75,ORACLE_MARKOV,21.95115806005675,22.985311250883598,34.927302340404225,0.3429868446883867,0.0,0.0,15.25487664595359,0.8182705812087633
NEAR_IID_CONTROL,64,0.875,EMPIRICAL_ML1,24.11403993615159,24.080250820083155,36.39173470119964,0.37678187400236857,2.7122832198036857,3.4155845002418914,7.9323120312590145,0.9859758066895175
NEAR_IID_CONTROL,64,0.875,FIT_16,22.400459797575607,21.459284018703183,36.19284620393127,0.35000718433711886,0.0,5.525504187792136,7.875279597662856,0.9777560543485194
NEAR_IID_CONTROL,64,0.875,FIT_512,21.431595303162915,20.602286420975304,34.546781794958235,0.33486867661192055,-0.2691088367506911,0.008513870466611608,7.875279597662856,0.9777385833194774
NEAR_IID_CONTROL,64,0.875,FIT_64,21.57671348546077,20.643138759974235,34.30583707475263,0.3371361482103245,0.0,0.5213468046333639,7.875279597662856,0.9777425353677283
NEAR_IID_CONTROL,64,0.875,KT0_MEMORYLESS,22.95115806005675,23.985311250883598,35.927302340404225,0.3586118446883867,1.0,1.0,7.900279597662856,0.9799966521657566
NEAR_IID_CONTROL,64,0.875,KT1_UNIVERSAL,23.590711615903405,23.438610660783453,36.469008947266424,0.3686048689984907,1.953612953839599,2.744367807533962,7.905328309433775,0.9811393698541346
NEAR_IID_CONTROL,64,0.875,ORACLE_MARKOV,21.95115806005675,22.985311250883598,34.927302340404225,0.3429868446883867,0.0,0.0,7.875279597662856,0.977746487415979
NEAR_IID_CONTROL,128,0.75,EMPIRICAL_ML1,50.67576498417047,50.051438668771254,67.78001431018905,0.3959044139388318,2.928906691387951,3.688428071945502,31.987467061140325,0.991884700835168
NEAR_IID_CONTROL,128,0.75,FIT_16,49.535821016148894,47.700409427545075,70.43544106235687,0.38699860168866324,0.10663134019456066,9.657307794370794,31.92939832245879,0.9588352296788664
NEAR_IID_CONTROL,128,0.75,FIT_512,47.39056463627985,46.742822976131755,63.50349163803161,0.3702387862209363,-0.6791571459746883,0.04746863461768083,31.909039458854657,0.94125487243671
NEAR_IID_CONTROL,128,0.75,FIT_64,47.949360498872394,47.00755393384249,66.25211281200873,0.3746043788974406,-0.2989648028423417,2.5648242005520787,31.929567502183648,0.9479336692987859
NEAR_IID_CONTROL,128,0.75,KT0_MEMORYLESS,49.189176747720055,48.81406497623482,64.99879487066578,0.3842904433415629,1.0,1.0,31.962973963269825,0.9810880820706098
NEAR_IID_CONTROL,128,0.75,KT1_UNIVERSAL,50.251118465024355,49.90286245892857,67.29143520929851,0.3925868630080028,2.362037323040205,3.0711780119759085,31.977847183137545,0.9875931611398332
NEAR_IID_CONTROL,128,0.75,ORACLE_MARKOV,48.189176747720055,47.81406497623482,63.99879487066577,0.3764779433415629,0.0,0.0,31.950473963269825,0.9584322050854113
NEAR_IID_CONTROL,128,0.875,EMPIRICAL_ML1,50.67576498417047,50.051438668771254,67.78001431018905,0.3959044139388318,2.928906691387951,3.688428071945502,16.0,1.0
NEAR_IID_CONTROL,128,0.875,FIT_16,49.535821016148894,47.700409427545075,70.43544106235687,0.38699860168866324,0.10663134019456066,9.657307794370794,16.0,1.0
NEAR_IID_CONTROL,128,0.875,FIT_512,47.39056463627985,46.742822976131755,63.50349163803161,0.3702387862209363,-0.6791571459746883,0.04746863461768083,16.0,1.0
NEAR_IID_CONTROL,128,0.875,FIT_64,47.949360498872394,47.00755393384249,66.25211281200873,0.3746043788974406,-0.2989648028423417,2.5648242005520787,16.0,1.0
