channel,family,nonadditive,representation,support_size,latent_entropy_bits,channel_h_y_given_x_uniform_bits,transition_degeneracy_bits,uniform_fiber_ambiguity_bits,kappa,random_code_fiber_ceiling_bits_per_symbol,injective_mass,bi_unambiguous,channel_capacity_bits_per_symbol,capacity_ba_iterations,multiplicity_mean_transition_weighted,multiplicity_max,multiplicity_mean_unweighted,exact_all,best_work_optimistic,best_work_balanced,best_work_pessimistic,best_order_optimistic,best_order_balanced,best_order_pessimistic,best_balanced_atoms,best_balanced_fiber_entries,best_balanced_certified_probability,construction,is_natural_independent
BAC_a0.100_b0.250,binary_asymmetric,True,INDEPENDENT_ROWS__reduced__reduced,4,1.280273718048414,0.640136859024207,0.640136859024207,0.30000000000000004,1.3,0.6214883767462702,0.7000000000000001,False,0.3439266242368573,13,2.0,2.0,2.0,True,4.1,7.699999999999999,15.799999999999999,"[1, 0, 3, 2]","[1, 0, 3, 2]","[1, 0, 3, 2]",1.0,1.0,1.0,independent_row_coupling,True
BAC_a0.100_b0.250,binary_asymmetric,True,COMMON_UNIFORM_000__reduced__reduced,3,1.2361602543738117,0.640136859024207,0.5960233953496047,0.35,1.35,0.5670405927238937,0.65,False,0.3439266242368573,13,1.8250000000000002,2.0,1.5,True,4.1,7.65,15.599999999999998,"[1, 0, 2]","[1, 0, 2]","[1, 0, 2]",1.0,1.0,1.0,common_uniform,False
BAC_a0.100_b0.250,binary_asymmetric,True,COMMON_UNIFORM_001__reduced__reduced,3,1.0540157730728001,0.640136859024207,0.4138789140485931,0.15000000000000002,1.15,0.7983661388303496,0.85,False,0.3439266242368573,13,1.5750000000000002,2.0,1.5,True,4.1,7.65,15.599999999999998,"[1, 0, 2]","[1, 0, 2]","[1, 0, 2]",1.0,1.0,1.0,common_uniform,False
BAC_a0.100_b0.250,binary_asymmetric,True,BAC_t0.16000000__reduced__reduced,4,1.1235674490794936,0.640136859024207,0.48343059005528655,0.17,1.17,0.7734914701913203,0.83,False,0.3439266242368573,13,2.0,2.0,2.0,True,4.1,7.699999999999999,15.799999999999999,"[1, 0, 2, 3]","[1, 0, 2, 3]","[1, 0, 2, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.100_b0.250,binary_asymmetric,True,BAC_t0.17000000__reduced__reduced,4,1.1704155787797543,0.640136859024207,0.5302787197555473,0.18999999999999997,1.19,0.7490384264667813,0.81,False,0.3439266242368573,13,2.0,2.0,2.0,True,4.1,7.699999999999999,15.799999999999999,"[1, 0, 2, 3]","[1, 0, 2, 3]","[1, 0, 2, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.100_b0.250,binary_asymmetric,True,BAC_t0.18000000__reduced__reduced,4,1.2068599689109765,0.640136859024207,0.5667231098867694,0.21,1.21,0.7249929525001302,0.79,False,0.3439266242368573,13,2.0,2.0,2.0,True,4.1,7.699999999999999,15.799999999999999,"[1, 0, 2, 3]","[1, 0, 2, 3]","[1, 0, 2, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.100_b0.250,binary_asymmetric,True,BAC_t0.19000000__reduced__reduced,4,1.23533175732885,0.640136859024207,0.595194898304643,0.23,1.23,0.7013416844354848,0.77,False,0.3439266242368573,13,2.0,2.0,2.0,True,4.1,7.699999999999999,15.799999999999999,"[1, 0, 2, 3]","[1, 0, 2, 3]","[1, 0, 2, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.100_b0.250,binary_asymmetric,True,BAC_t0.20000000__reduced__reduced,4,1.2567796494470393,0.640136859024207,0.6166427904228323,0.25,1.25,0.6780719051126376,0.75,False,0.3439266242368573,13,2.0,2.0,2.0,True,4.1,7.699999999999999,15.799999999999999,"[1, 0, 3, 2]","[1, 0, 3, 2]","[1, 0, 3, 2]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.100_b0.250,binary_asymmetric,True,BAC_t0.21000000__reduced__reduced,4,1.271489905770979,0.640136859024207,0.631353046746772,0.27,1.27,0.6551715030025589,0.7300000000000001,False,0.3439266242368573,13,2.0,2.0,2.0,True,4.1,7.699999999999999,15.799999999999999,"[1, 0, 3, 2]","[1, 0, 3, 2]","[1, 0, 3, 2]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.100_b0.250,binary_asymmetric,True,BAC_t0.22000000__reduced__reduced,4,1.2792427820586214,0.640136859024207,0.6391059230344144,0.29000000000000004,1.29,0.6326289343514706,0.7100000000000001,False,0.3439266242368573,13,2.0,2.0,2.0,True,4.1,7.699999999999999,15.799999999999999,"[1, 0, 3, 2]","[1, 0, 3, 2]","[1, 0, 3, 2]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.100_b0.250,binary_asymmetric,True,BAC_t0.23000000__reduced__reduced,4,1.2791571822749042,0.640136859024207,0.6390203232506971,0.30999999999999994,1.31,0.6104331882372744,0.6900000000000001,False,0.3439266242368573,13,2.0,2.0,2.0,True,4.1,7.699999999999999,15.799999999999999,"[1, 0, 3, 2]","[1, 0, 3, 2]","[1, 0, 3, 2]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.100_b0.250,binary_asymmetric,True,BAC_t0.24000000__reduced__reduced,4,1.2688718206952598,0.640136859024207,0.6287349616710528,0.32999999999999996,1.33,0.588573754273535,0.67,False,0.3439266242368573,13,2.0,2.0,2.0,True,4.1,7.699999999999999,15.799999999999999,"[1, 0, 3, 2]","[1, 0, 3, 2]","[1, 0, 3, 2]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.200_b0.350,binary_asymmetric,True,INDEPENDENT_ROWS__reduced__reduced,4,1.6559961502628533,0.8279980751314266,0.8279980751314266,0.41,1.41,0.5043048373759312,0.59,False,0.1557433428655294,7,2.0,2.0,2.0,True,4.1,7.699999999999999,15.8,"[1, 0, 3, 2]","[1, 0, 3, 2]","[1, 0, 3, 2]",1.0,1.0,1.0,independent_row_coupling,True
BAC_a0.200_b0.350,binary_asymmetric,True,COMMON_UNIFORM_000__reduced__reduced,3,1.5128876215181601,0.8279980751314266,0.6848895463867335,0.5499999999999999,1.5499999999999998,0.36773178450048727,0.45000000000000007,False,0.1557433428655294,7,1.725,2.0,1.5,True,7.715,14.05,28.400000000000002,"[2, 1, 0]","[2, 1, 0]","[2, 1, 0]",2.0,1.85,1.0,common_uniform,False
BAC_a0.200_b0.350,binary_asymmetric,True,COMMON_UNIFORM_001__reduced__reduced,3,1.278897902987479,0.8279980751314266,0.4508998278560523,0.15000000000000002,1.15,0.7983661388303496,0.85,False,0.1557433428655294,7,1.575,2.0,1.5,True,4.1,7.65,15.6,"[1, 2, 0]","[1, 2, 0]","[1, 2, 0]",1.0,1.0,1.0,common_uniform,False
BAC_a0.200_b0.350,binary_asymmetric,True,BAC_t0.17000000__reduced__reduced,4,1.4127146546976033,0.8279980751314266,0.5847165795661766,0.18999999999999995,1.19,0.7490384264667813,0.8100000000000002,False,0.1557433428655294,7,2.0,2.0,2.0,True,4.1,7.699999999999999,15.8,"[1, 2, 0, 3]","[1, 2, 0, 3]","[1, 2, 0, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.200_b0.350,binary_asymmetric,True,BAC_t0.19000000__reduced__reduced,4,1.4990001863070828,0.8279980751314266,0.6710021111756561,0.22999999999999998,1.23,0.7013416844354848,0.7700000000000001,False,0.1557433428655294,7,2.0,2.0,2.0,True,4.1,7.699999999999999,15.8,"[1, 0, 2, 3]","[1, 0, 2, 3]","[1, 0, 2, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.200_b0.350,binary_asymmetric,True,BAC_t0.21000000__reduced__reduced,4,1.5625826927363646,0.8279980751314266,0.734584617604938,0.26999999999999996,1.27,0.6551715030025589,0.7300000000000001,False,0.1557433428655294,7,2.0,2.0,2.0,True,4.1,7.699999999999999,15.8,"[1, 0, 2, 3]","[1, 0, 2, 3]","[1, 0, 2, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.200_b0.350,binary_asymmetric,True,BAC_t0.23000000__reduced__reduced,4,1.6084941317211703,0.8279980751314266,0.7804960565897436,0.31,1.31,0.6104331882372744,0.6900000000000001,False,0.1557433428655294,7,2.0,2.0,2.0,True,4.1,7.699999999999999,15.8,"[1, 0, 2, 3]","[1, 0, 2, 3]","[1, 0, 2, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.200_b0.350,binary_asymmetric,True,BAC_t0.25000000__reduced__reduced,4,1.6387586809150083,0.8279980751314266,0.8107606057835817,0.35,1.35,0.5670405927238937,0.65,False,0.1557433428655294,7,2.0,2.0,2.0,True,4.1,7.699999999999999,15.8,"[1, 0, 2, 3]","[1, 0, 2, 3]","[1, 0, 2, 3]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.200_b0.350,binary_asymmetric,True,BAC_t0.27000000__reduced__reduced,4,1.6540432231855537,0.8279980751314266,0.8260451480541271,0.38999999999999996,1.39,0.5249151170512174,0.6100000000000001,False,0.1557433428655294,7,2.0,2.0,2.0,True,4.1,7.699999999999999,15.8,"[1, 0, 3, 2]","[1, 0, 3, 2]","[1, 0, 3, 2]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.200_b0.350,binary_asymmetric,True,BAC_t0.29000000__reduced__reduced,4,1.6539773376509321,0.8279980751314266,0.8259792625195055,0.43,1.43,0.4839848529963353,0.5700000000000001,False,0.1557433428655294,7,2.0,2.0,2.0,True,4.1,7.699999999999999,15.8,"[1, 0, 3, 2]","[1, 0, 3, 2]","[1, 0, 3, 2]",1.0,1.0,1.0,complete_bac_interval_grid,False
BAC_a0.200_b0.350,binary_asymmetric,True,BAC_t0.31000000__reduced__reduced,4,1.6368475099383413,0.8279980751314266,0.8088494348069146,0.4699999999999999,1.47,0.4441838449383603,0.5300000000000001,False,0.1557433428655294,7,2.0,2.0,2.0,True,7.715,14.1,28.6,"[3, 1, 0, 2]","[3, 1, 0, 2]","[3, 1, 0, 2]",2.0,1.85,1.0,complete_bac_interval_grid,False
BAC_a0.200_b0.350,binary_asymmetric,True,BAC_t0.33000000__reduced__reduced,4,1.5979628698383292,0.8279980751314266,0.7699647947069026,0.51,1.51,0.4054514504496458,0.4900000000000001,False,0.1557433428655294,7,2.0,2.0,2.0,True,7.715,14.1,28.6,"[3, 1, 0, 2]","[3, 1, 0, 2]","[3, 1, 0, 2]",2.0,1.85,1.0,complete_bac_interval_grid,False
BAC_a0.300_b0.400,binary_asymmetric,True,INDEPENDENT_ROWS__reduced__reduced,4,1.8522414936853613,0.9261207468426806,0.9261207468426806,0.45999999999999996,1.46,0.45403163089470755,0.54,False,0.06665490719480063,5,2.0,2.0,2.0,True,7.8100000000000005,14.299999999999999,29.0,"[3, 1, 0, 2]","[3, 1, 0, 2]","[3, 1, 0, 2]",2.0,1.9,1.0,independent_row_coupling,True
